"";"classe";"ano";"trimestre";"resultados";"resultados_referencia";"resultados_base100";"tempo"
"1";"Setor criativo";2008;"I";3,87435462897276;5,43016092554035;0,713;"2008 - I"
"2";"Setor não criativo";2008;"I";4,36870390272026;4,33506911598267;1,008;"2008 - I"
"3";"Pib";2008;"I";138,573309130327;160,839753766249;0,862;"2008 - I"
"4";"Setor criativo";2008;"II";3,73856718795181;5,43016092554035;0,688;"2008 - II"
"5";"Setor não criativo";2008;"II";4,8578651562269;4,33506911598267;1,121;"2008 - II"
"6";"Pib";2008;"II";143,794543863374;160,839753766249;0,894;"2008 - II"
"7";"Setor criativo";2008;"III";3,87703332356003;5,43016092554035;0,714;"2008 - III"
"8";"Setor não criativo";2008;"III";4,54000117130941;4,33506911598267;1,047;"2008 - III"
"9";"Pib";2008;"III";145,400676811743;160,839753766249;0,904;"2008 - III"
"10";"Setor criativo";2008;"IV";3,58293345141445;5,43016092554035;0,66;"2008 - IV"
"11";"Setor não criativo";2008;"IV";3,93523510219671;4,33506911598267;0,908;"2008 - IV"
"12";"Pib";2008;"IV";130,45107779511;160,839753766249;0,811;"2008 - IV"
"13";"Setor criativo";2009;"I";4,01568655803279;5,43016092554035;0,74;"2009 - I"
"14";"Setor não criativo";2009;"I";4,24601921039349;4,33506911598267;0,979;"2009 - I"
"15";"Pib";2009;"I";120,540472232218;160,839753766249;0,749;"2009 - I"
"16";"Setor criativo";2009;"II";3,66561842985246;5,43016092554035;0,675;"2009 - II"
"17";"Setor não criativo";2009;"II";4,41934668708269;4,33506911598267;1,019;"2009 - II"
"18";"Pib";2009;"II";126,301579373996;160,839753766249;0,785;"2009 - II"
"19";"Setor criativo";2009;"III";3,72273082791251;5,43016092554035;0,686;"2009 - III"
"20";"Setor não criativo";2009;"III";4,28810100311611;4,33506911598267;0,989;"2009 - III"
"21";"Pib";2009;"III";134,544866536934;160,839753766249;0,837;"2009 - III"
"22";"Setor criativo";2009;"IV";3,5209009047063;5,43016092554035;0,648;"2009 - IV"
"23";"Setor não criativo";2009;"IV";3,82915895182718;4,33506911598267;0,883;"2009 - IV"
"24";"Pib";2009;"IV";140,703806175528;160,839753766249;0,875;"2009 - IV"
"25";"Setor criativo";2010;"I";4,37816101512506;5,43016092554035;0,806;"2010 - I"
"26";"Setor não criativo";2010;"I";4,36560565639231;4,33506911598267;1,007;"2010 - I"
"27";"Pib";2010;"I";147,166548044354;160,839753766249;0,915;"2010 - I"
"28";"Setor criativo";2010;"II";4,05037849067274;5,43016092554035;0,746;"2010 - II"
"29";"Setor não criativo";2010;"II";5,00011252773093;4,33506911598267;1,153;"2010 - II"
"30";"Pib";2010;"II";148,562428761397;160,839753766249;0,924;"2010 - II"
"31";"Setor criativo";2010;"III";3,93519335968629;5,43016092554035;0,725;"2010 - III"
"32";"Setor não criativo";2010;"III";4,5071938996064;4,33506911598267;1,04;"2010 - III"
"33";"Pib";2010;"III";153,014580915148;160,839753766249;0,951;"2010 - III"
"34";"Setor criativo";2010;"IV";3,66921695322397;5,43016092554035;0,676;"2010 - IV"
"35";"Setor não criativo";2010;"IV";3,9682503891791;4,33506911598267;0,915;"2010 - IV"
"36";"Pib";2010;"IV";155,521261430518;160,839753766249;0,967;"2010 - IV"
"37";"Setor criativo";2011;"I";4,49096467107046;5,43016092554035;0,827;"2011 - I"
"38";"Setor não criativo";2011;"I";4,67174014752594;4,33506911598267;1,078;"2011 - I"
"39";"Pib";2011;"I";161,315815954414;160,839753766249;1,003;"2011 - I"
"40";"Setor criativo";2011;"II";4,27263707417056;5,43016092554035;0,787;"2011 - II"
"41";"Setor não criativo";2011;"II";4,83867198730245;4,33506911598267;1,116;"2011 - II"
"42";"Pib";2011;"II";163,342924309052;160,839753766249;1,016;"2011 - II"
"43";"Setor criativo";2011;"III";4,30025739856212;5,43016092554035;0,792;"2011 - III"
"44";"Setor não criativo";2011;"III";4,78053924394438;4,33506911598267;1,103;"2011 - III"
"45";"Pib";2011;"III";161,85680743487;160,839753766249;1,006;"2011 - III"
"46";"Setor criativo";2011;"IV";3,87348504640634;5,43016092554035;0,713;"2011 - IV"
"47";"Setor não criativo";2011;"IV";4,18796656234747;4,33506911598267;0,966;"2011 - IV"
"48";"Pib";2011;"IV";161,348916736229;160,839753766249;1,003;"2011 - IV"
"49";"Setor criativo";2012;"I";4,8027694532;5,43016092554035;0,884;"2012 - I"
"50";"Setor não criativo";2012;"I";4,69269689420887;4,33506911598267;1,082;"2012 - I"
"51";"Pib";2012;"I";157,743312709256;160,839753766249;0,981;"2012 - I"
"52";"Setor criativo";2012;"II";4,45409798229078;5,43016092554035;0,82;"2012 - II"
"53";"Setor não criativo";2012;"II";4,86978784303771;4,33506911598267;1,123;"2012 - II"
"54";"Pib";2012;"II";162,08812073039;160,839753766249;1,008;"2012 - II"
"55";"Setor criativo";2012;"III";4,74540256443771;5,43016092554035;0,874;"2012 - III"
"56";"Setor não criativo";2012;"III";4,60857492418637;4,33506911598267;1,063;"2012 - III"
"57";"Pib";2012;"III";160,729177010168;160,839753766249;0,999;"2012 - III"
"58";"Setor criativo";2012;"IV";4,31296331636447;5,43016092554035;0,794;"2012 - IV"
"59";"Setor não criativo";2012;"IV";4,15137802418188;4,33506911598267;0,958;"2012 - IV"
"60";"Pib";2012;"IV";160,024021687814;160,839753766249;0,995;"2012 - IV"
"61";"Setor criativo";2013;"I";5,07962456331646;5,43016092554035;0,935;"2013 - I"
"62";"Setor não criativo";2013;"I";4,94104496610359;4,33506911598267;1,14;"2013 - I"
"63";"Pib";2013;"I";159,67797472712;160,839753766249;0,993;"2013 - I"
"64";"Setor criativo";2013;"II";4,9684316774978;5,43016092554035;0,915;"2013 - II"
"65";"Setor não criativo";2013;"II";5,21427971354463;4,33506911598267;1,203;"2013 - II"
"66";"Pib";2013;"II";160,845659379524;160,839753766249;1;"2013 - II"
"67";"Setor criativo";2013;"III";4,72917042878023;5,43016092554035;0,871;"2013 - III"
"68";"Setor não criativo";2013;"III";4,68822545850883;4,33506911598267;1,081;"2013 - III"
"69";"Pib";2013;"III";159,362641169368;160,839753766249;0,991;"2013 - III"
"70";"Setor criativo";2013;"IV";4,27681547515204;5,43016092554035;0,788;"2013 - IV"
"71";"Setor não criativo";2013;"IV";4,01284620816823;4,33506911598267;0,926;"2013 - IV"
"72";"Pib";2013;"IV";160,607150745763;160,839753766249;0,999;"2013 - IV"
"73";"Setor criativo";2014;"I";5,40194341679207;5,43016092554035;0,995;"2014 - I"
"74";"Setor não criativo";2014;"I";4,70984650763362;4,33506911598267;1,086;"2014 - I"
"75";"Pib";2014;"I";160,224551925186;160,839753766249;0,996;"2014 - I"
"76";"Setor criativo";2014;"II";4,98351017270633;5,43016092554035;0,918;"2014 - II"
"77";"Setor não criativo";2014;"II";4,78300837762199;4,33506911598267;1,103;"2014 - II"
"78";"Pib";2014;"II";163,112000607521;160,839753766249;1,014;"2014 - II"
"79";"Setor criativo";2014;"III";5,13454465008178;5,43016092554035;0,946;"2014 - III"
"80";"Setor não criativo";2014;"III";4,60864566575701;4,33506911598267;1,063;"2014 - III"
"81";"Pib";2014;"III";168,224578680943;160,839753766249;1,046;"2014 - III"
"82";"Setor criativo";2014;"IV";4,66191202290932;5,43016092554035;0,859;"2014 - IV"
"83";"Setor não criativo";2014;"IV";4,10792682971649;4,33506911598267;0,948;"2014 - IV"
"84";"Pib";2014;"IV";169,749863426662;160,839753766249;1,055;"2014 - IV"
"85";"Setor criativo";2015;"I";5,01802598245356;5,43016092554035;0,924;"2015 - I"
"86";"Setor não criativo";2015;"I";4,31753256498963;4,33506911598267;0,996;"2015 - I"
"87";"Pib";2015;"I";168,956647958756;160,839753766249;1,05;"2015 - I"
"88";"Setor criativo";2015;"II";4,20345359392678;5,43016092554035;0,774;"2015 - II"
"89";"Setor não criativo";2015;"II";4,13952122494442;4,33506911598267;0,955;"2015 - II"
"90";"Pib";2015;"II";161,662680830561;160,839753766249;1,005;"2015 - II"
"91";"Setor criativo";2015;"III";4,26171486886375;5,43016092554035;0,785;"2015 - III"
"92";"Setor não criativo";2015;"III";3,52172811805139;4,33506911598267;0,812;"2015 - III"
"93";"Pib";2015;"III";163,047309279011;160,839753766249;1,014;"2015 - III"
"94";"Setor criativo";2015;"IV";3,61014802468318;5,43016092554035;0,665;"2015 - IV"
"95";"Setor não criativo";2015;"IV";2,95980171701167;4,33506911598267;0,683;"2015 - IV"
"96";"Pib";2015;"IV";155,000053166387;160,839753766249;0,964;"2015 - IV"
"97";"Setor criativo";2016;"I";4,29660906594694;5,43016092554035;0,791;"2016 - I"
"98";"Setor não criativo";2016;"I";3,35210444735409;4,33506911598267;0,773;"2016 - I"
"99";"Pib";2016;"I";154,902599533895;160,839753766249;0,963;"2016 - I"
"100";"Setor criativo";2016;"II";3,76918664289196;5,43016092554035;0,694;"2016 - II"
"101";"Setor não criativo";2016;"II";3,54615636137091;4,33506911598267;0,818;"2016 - II"
"102";"Pib";2016;"II";151,252565106091;160,839753766249;0,94;"2016 - II"
"103";"Setor criativo";2016;"III";3,85158667079037;5,43016092554035;0,709;"2016 - III"
"104";"Setor não criativo";2016;"III";3,00834740026218;4,33506911598267;0,694;"2016 - III"
"105";"Pib";2016;"III";154,263866312024;160,839753766249;0,959;"2016 - III"
"106";"Setor criativo";2016;"IV";3,22329552932287;5,43016092554035;0,594;"2016 - IV"
"107";"Setor não criativo";2016;"IV";2,84499673911389;4,33506911598267;0,656;"2016 - IV"
"108";"Pib";2016;"IV";155,835755197195;160,839753766249;0,969;"2016 - IV"
"109";"Setor criativo";2017;"I";3,98663409366651;5,43016092554035;0,734;"2017 - I"
"110";"Setor não criativo";2017;"I";3,37208370847939;4,33506911598267;0,778;"2017 - I"
"111";"Pib";2017;"I";153,922891520249;160,839753766249;0,957;"2017 - I"
"112";"Setor criativo";2017;"II";3,71497669870233;5,43016092554035;0,684;"2017 - II"
"113";"Setor não criativo";2017;"II";3,26959984421462;4,33506911598267;0,754;"2017 - II"
"114";"Pib";2017;"II";156,455422103934;160,839753766249;0,973;"2017 - II"
"115";"Setor criativo";2017;"III";3,49614877156086;5,43016092554035;0,644;"2017 - III"
"116";"Setor não criativo";2017;"III";3,21283331747497;4,33506911598267;0,741;"2017 - III"
"117";"Pib";2017;"III";153,568049360187;160,839753766249;0,955;"2017 - III"
"118";"Setor criativo";2017;"IV";3,52337379492275;5,43016092554035;0,649;"2017 - IV"
"119";"Setor não criativo";2017;"IV";2,9668097190471;4,33506911598267;0,684;"2017 - IV"
"120";"Pib";2017;"IV";154,363724697013;160,839753766249;0,96;"2017 - IV"
"121";"Setor criativo";2018;"I";4,52192902962381;5,43016092554035;0,833;"2018 - I"
"122";"Setor não criativo";2018;"I";3,47514821245273;4,33506911598267;0,802;"2018 - I"
"123";"Pib";2018;"I";157,854201475022;160,839753766249;0,981;"2018 - I"
"124";"Setor criativo";2018;"II";3,99076523309856;5,43016092554035;0,735;"2018 - II"
"125";"Setor não criativo";2018;"II";3,6167529246376;4,33506911598267;0,834;"2018 - II"
"126";"Pib";2018;"II";161,506879680581;160,839753766249;1,004;"2018 - II"
"127";"Setor criativo";2018;"III";3,93479306401751;5,43016092554035;0,725;"2018 - III"
"128";"Setor não criativo";2018;"III";3,62396901332738;4,33506911598267;0,836;"2018 - III"
"129";"Pib";2018;"III";158,577431372253;160,839753766249;0,986;"2018 - III"
"130";"Setor criativo";2018;"IV";3,9504306863923;5,43016092554035;0,727;"2018 - IV"
"131";"Setor não criativo";2018;"IV";3,1852740507424;4,33506911598267;0,735;"2018 - IV"
"132";"Pib";2018;"IV";158,2613566742;160,839753766249;0,984;"2018 - IV"
"133";"Setor criativo";2019;"I";4,6106724310321;5,43016092554035;0,849;"2019 - I"
"134";"Setor não criativo";2019;"I";3,67488271671792;4,33506911598267;0,848;"2019 - I"
"135";"Pib";2019;"I";157,511894408566;160,839753766249;0,979;"2019 - I"
"136";"Setor criativo";2019;"II";4,31088662621167;5,43016092554035;0,794;"2019 - II"
"137";"Setor não criativo";2019;"II";3,77791254063852;4,33506911598267;0,871;"2019 - II"
"138";"Pib";2019;"II";150,761701820844;160,839753766249;0,937;"2019 - II"
"139";"Setor criativo";2019;"III";4,5399742985432;5,43016092554035;0,836;"2019 - III"
"140";"Setor não criativo";2019;"III";3,58478938911026;4,33506911598267;0,827;"2019 - III"
"141";"Pib";2019;"III";153,175649999465;160,839753766249;0,952;"2019 - III"
"142";"Setor criativo";2019;"IV";4,34366772056208;5,43016092554035;0,8;"2019 - IV"
"143";"Setor não criativo";2019;"IV";3,2273126693764;4,33506911598267;0,744;"2019 - IV"
"144";"Pib";2019;"IV";150,760664042352;160,839753766249;0,937;"2019 - IV"
"145";"Setor criativo";2020;"I";4,40958156172051;5,43016092554035;0,812;"2020 - I"
"146";"Setor não criativo";2020;"I";3,54670063296655;4,33506911598267;0,818;"2020 - I"
"147";"Pib";2020;"I";150,186599652731;160,839753766249;0,934;"2020 - I"
"148";"Setor criativo";2020;"II";1,32523558909125;5,43016092554035;0,244;"2020 - II"
"149";"Setor não criativo";2020;"II";2,24669427151248;4,33506911598267;0,518;"2020 - II"
"150";"Pib";2020;"II";131,621830426913;160,839753766249;0,818;"2020 - II"
"151";"Setor criativo";2020;"III";2,81143277477245;5,43016092554035;0,518;"2020 - III"
"152";"Setor não criativo";2020;"III";2,85431568906499;4,33506911598267;0,658;"2020 - III"
"153";"Pib";2020;"III";147,23516961528;160,839753766249;0,915;"2020 - III"
"154";"Setor criativo";2020;"IV";3,63278887234061;5,43016092554035;0,669;"2020 - IV"
"155";"Setor não criativo";2020;"IV";3,25360345714275;4,33506911598267;0,751;"2020 - IV"
"156";"Pib";2020;"IV";154,196401442875;160,839753766249;0,959;"2020 - IV"
"157";"Setor criativo";2021;"I";4,51544414723069;5,43016092554035;0,832;"2021 - I"
"158";"Setor não criativo";2021;"I";3,58602105885726;4,33506911598267;0,827;"2021 - I"
"159";"Pib";2021;"I";154,259157926606;160,839753766249;0,959;"2021 - I"
"160";"Setor criativo";2021;"II";3,73153639079851;5,43016092554035;0,687;"2021 - II"
"161";"Setor não criativo";2021;"II";3,55795153186134;4,33506911598267;0,821;"2021 - II"
"162";"Pib";2021;"II";152,562147789392;160,839753766249;0,949;"2021 - II"
"163";"Setor criativo";2021;"III";4,41697399842781;5,43016092554035;0,813;"2021 - III"
"164";"Setor não criativo";2021;"III";3,94077750253975;4,33506911598267;0,909;"2021 - III"
"165";"Pib";2021;"III";156,016213557187;160,839753766249;0,97;"2021 - III"
"166";"Setor criativo";2021;"IV";4,79710694989612;5,43016092554035;0,883;"2021 - IV"
"167";"Setor não criativo";2021;"IV";3,65366405260551;4,33506911598267;0,843;"2021 - IV"
"168";"Pib";2021;"IV";159,874884301508;160,839753766249;0,994;"2021 - IV"
"169";"Setor criativo";2022;"I";5,49935153149417;5,43016092554035;1,013;"2022 - I"
"170";"Setor não criativo";2022;"I";4,23091146677563;4,33506911598267;0,976;"2022 - I"
"171";"Pib";2022;"I";155,379697384582;160,839753766249;0,966;"2022 - I"
"172";"Setor criativo";2022;"II";5,18900900926298;5,43016092554035;0,956;"2022 - II"
"173";"Setor não criativo";2022;"II";4,31896302531079;4,33506911598267;0,996;"2022 - II"
"174";"Pib";2022;"II";155,564528806625;160,839753766249;0,967;"2022 - II"
"175";"Setor criativo";2022;"III";5,42909254246949;5,43016092554035;1;"2022 - III"
"176";"Setor não criativo";2022;"III";4,27870434042722;4,33506911598267;0,987;"2022 - III"
"177";"Pib";2022;"III";150,953309735765;160,839753766249;0,939;"2022 - III"
"178";"Setor criativo";2022;"IV";5,04269079297476;5,43016092554035;0,929;"2022 - IV"
"179";"Setor não criativo";2022;"IV";3,76691466090996;4,33506911598267;0,869;"2022 - IV"
"180";"Pib";2022;"IV";149,096740265844;160,839753766249;0,927;"2022 - IV"
"181";"Setor criativo";2023;"I";5,7114120195381;5,43016092554035;1,052;"2023 - I"
"182";"Setor não criativo";2023;"I";4,5059634597328;4,33506911598267;1,039;"2023 - I"
"183";"Pib";2023;"I";155,604233489137;160,839753766249;0,967;"2023 - I"
"184";"Setor criativo";2023;"II";5,53947950855494;5,43016092554035;1,02;"2023 - II"
"185";"Setor não criativo";2023;"II";4,44815271436429;4,33506911598267;1,026;"2023 - II"
"186";"Pib";2023;"II";158,064586358991;160,839753766249;0,983;"2023 - II"
"187";"Setor criativo";2023;"III";5,3051511396631;5,43016092554035;0,977;"2023 - III"
"188";"Setor não criativo";2023;"III";4,52217866107266;4,33506911598267;1,043;"2023 - III"
"189";"Pib";2023;"III";158,976090402314;160,839753766249;0,988;"2023 - III"
"190";"Setor criativo";2023;"IV";5,42418638687769;5,43016092554035;0,999;"2023 - IV"
"191";"Setor não criativo";2023;"IV";4,08134333013195;4,33506911598267;0,941;"2023 - IV"
"192";"Pib";2023;"IV";158,718537624625;160,839753766249;0,987;"2023 - IV"
"193";"Setor criativo";2024;"I";6,23934390743667;5,43016092554035;1,149;"2024 - I"
"194";"Setor não criativo";2024;"I";4,61312883514922;4,33506911598267;1,064;"2024 - I"
"195";"Pib";2024;"I";158,890489909117;160,839753766249;0,988;"2024 - I"
"196";"Setor criativo";2024;"II";5,96840317975085;5,43016092554035;1,099;"2024 - II"
"197";"Setor não criativo";2024;"II";4,9141321917982;4,33506911598267;1,134;"2024 - II"
"198";"Pib";2024;"II";159,91297998336;160,839753766249;0,994;"2024 - II"
"199";"Setor criativo";2024;"III";6,01236240059345;5,43016092554035;1,107;"2024 - III"
"200";"Setor não criativo";2024;"III";4,91194045520638;4,33506911598267;1,133;"2024 - III"
"201";"Pib";2024;"III";161,669655598849;160,839753766249;1,005;"2024 - III"
"202";"Setor criativo";2024;"IV";5,43016092554035;5,43016092554035;1;"2024 - IV"
"203";"Setor não criativo";2024;"IV";4,33506911598267;4,33506911598267;1;"2024 - IV"
"204";"Pib";2024;"IV";160,839753766249;160,839753766249;1;"2024 - IV"
